created_at,LT,LB,KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,deskripsi
06-12-2021,202,198,8,3,,,Jakarta Pusat,SHM,2200,,4500000000,https://www.rumah.com/listing-properti/dijual-rumah-dijual-menteng-jakarta-pusat-murah-sekali-dekat-cikini-salemba-taman-ismail-marzuki-kampus-ui-oleh-ika-indayanti-19239760,Dekat Cikini Salemba Taman Isamail Marzuki Kampus Universitas Indonesia UI YAI RSCM dan RS. PGI Cikini
02-12-2021,30,55,2,1,,1,Jakarta Pusat,SHM,2200,,1100000000,https://www.rumah.com/listing-properti/dijual-rumah-murah-cempaka-putih-jakarta-pusat-oleh-irwan-18848789,"Mengusung konsep minimalis, dan didukung dengan lingkungan yang tenang dan lokasi yang sangat strategis area Jakarta Pusat"
06-12-2021,19,35,2,1,,,Jakarta Pusat,SHM,2200,,395000000,https://www.rumah.com/listing-properti/dijual-cluster-kalibaru-timur-senen-jakarta-pusat-oleh-irwan-19347642,"Dekat dengan Mall Atrium Senen, dekat dengan area Kemayoran, dan dikelilingi lokasi Cempaka Putih, Gunung Sahari, dan Kwitang-Salemba"
06-12-2021,33,42,2,2,,1,Jakarta Pusat,SHM,2200,,835000000,https://www.rumah.com/listing-properti/dijual-rumah-mewah-kwitang-jakarta-pusat-termurah-oleh-irwan-19207556,"Berlokasi sangat strategis, sangat dekat ke Tugu Tani ataupun ke area ring satu Istana Negara"
06-12-2021,30,55,2,2,,1,Jakarta Pusat,SHM,2200,,1100000000,https://www.rumah.com/listing-properti/dijual-rumah-murah-mewah-di-cempaka-putih-jakarta-pusat-lokasi-strategis-oleh-andi-18520279,"Bisa request ubah tata ruang, beli 2 unit mendapat harga spesial"
06-12-2021,217,245,6,4,,2,Jakarta Pusat,SHM,4400,,5500000000,https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-jalan-balikpapan-jakarta-pusat-oleh-yunita-18713364,
06-12-2021,424,1000,4,5,1,1,Jakarta Pusat,SHM,33000,Timur,49500000000,https://www.rumah.com/listing-properti/dijual-rumah-mewah-konsep-bintang-5-di-ring-1-menteng-oleh-efendi-tobing-18430678,"Rumah mewah berkonsep hotel bintang 5, interior mweah, siap huni, ada rooftop dengan view gedung-gedung pencakar langit dari Kuningan sampai Sudirman, rumah super bersih aman dari serangga dan tikus"
06-12-2021,597,700,5,4,2,5,Jakarta Pusat,SHM,8000,,40000000000,https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-di-menteng-oleh-resmi-chandra-16657618,"Lokasi strategis hanya 5 menit ke pusat  kuliner Menteng, RSCM, Kampus YAI, Grand Indonesia, dan pusat bisnis Sudirman"
06-12-2021,60,98,3,3,,1,Jakarta Pusat,SHM,2200,,1700000000,https://www.rumah.com/listing-properti/dijual-rumah-brand-new-3-lantai-lokasi-di-meruya-jakarta-barat-oleh-yadi-19258610,"Lokasi strategis di perbatasan Jakarta Barat dan Tangerang, 10 menit ke Toll Karang Tengah, 15 menit ke Toll Kebon Jeruk"
06-12-2021,33,42,2,1,,1,Jakarta Pusat,SHM,2200,,835000000,https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-shm-di-kwitang-senen-jakarta-pusat-dekat-tugu-tani-oleh-felicia-wijaya-19281502,"Desain menarik dengan konsep Townhouse, akses transportasi umum sangat mudah."
05-12-2021,71,83,3,2,,1,Jakarta Pusat,SHM,2200,,1880000000,https://www.rumah.com/listing-properti/dijual-jalan-kembang-oleh-hardi-prastian-19360762,"Lokasi pusat bisnis perekonomian Indonesia, dekat dengan pemerintahan, bagus untuk investasi"
05-12-2021,75,260,10,10,,3,Jakarta Pusat,SHM,3500,,5300000000,https://www.rumah.com/listing-properti/dijual-gajah-mada-jakarta-barat-oleh-rafas-19361596,Bangunan baru
05-12-2021,45,71,3,2,,1,Jakarta Pusat,SHM,2200,,1390000000,https://www.rumah.com/listing-properti/dijual-plaza-atrium-oleh-heru-herdianzah-18999211,Perubahan tata ruang dapat dilakukan
05-12-2021,24,46,2,1,,,Jakarta Pusat,SHM,2200,,450000000,https://www.rumah.com/listing-properti/dijual-jln-kalibaru-senen-jakarta-pusat-oleh-yudi-kurniawan-18952153,Bebas banjir
